episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
230,60.36,0.0,100.0,397.02,12.82,12.25,0.34,0.07
231,65.28,0.0,100.0,347.87,8.08,20.39,0.26,0.08
232,60.95,0.0,100.0,391.1,7.14,29.13,0.19,0.08
233,71.52,0.0,100.0,285.53,6.43,23.41,0.16,0.07
234,57.71,0.0,100.0,423.51,6.14,20.79,0.48,0.07
235,64.44,0.0,100.0,356.29,12.45,12.27,0.26,0.07
236,61.62,0.0,100.0,384.39,4.78,28.66,0.22,0.07
237,70.94,0.0,100.0,291.29,7.48,30.35,0.24,0.07
238,41.67,0.11,89.0,408.81,2.11,43.18,0.51,0.1
239,73.68,0.0,100.0,263.92,7.24,25.38,0.19,0.07
240,69.74,0.0,100.0,303.32,12.0,12.71,0.06,0.09
241,61.23,0.0,100.0,388.33,7.52,21.7,0.13,0.07
242,15.21,0.24,76.0,484.65,10.87,16.94,0.29,0.06
243,70.98,0.0,100.0,290.94,7.16,21.21,0.23,0.07
244,66.96,0.0,100.0,331.12,7.7,28.28,0.15,0.07
245,59.15,0.0,100.0,409.1,10.4,14.87,0.23,0.08
246,62.26,0.0,100.0,378.04,7.53,21.93,0.33,0.07
247,56.02,0.02,98.0,408.5,3.27,32.2,0.39,0.07
248,72.17,0.0,100.0,279.07,7.21,29.44,0.24,0.07
249,70.83,0.0,100.0,292.37,6.82,30.3,0.18,0.08
250,62.16,0.0,100.0,379.04,4.98,28.08,0.29,0.07
251,71.29,0.0,100.0,287.86,6.56,25.91,0.25,0.08
252,69.0,0.0,100.0,310.71,5.84,30.42,0.19,0.07
253,72.79,0.0,100.0,272.84,5.01,31.96,0.12,0.07
254,74.41,0.0,100.0,256.62,6.01,29.07,0.3,0.07
255,17.81,0.29,71.0,482.09,1.75,34.56,0.33,0.06
256,62.59,0.0,100.0,374.74,11.08,16.4,0.23,0.07
257,61.61,0.0,100.0,384.48,3.4,35.74,0.37,0.07
258,66.89,0.02,98.0,297.7,6.08,28.21,0.25,0.07
259,56.59,0.01,99.0,418.85,4.63,34.51,0.29,0.06
260,75.3,0.0,100.0,247.73,4.66,30.46,0.24,0.09
261,73.28,0.0,100.0,267.97,5.95,27.85,0.15,0.07
262,66.44,0.0,100.0,336.22,7.52,19.52,0.15,0.11
263,66.14,0.0,100.0,339.23,5.3,30.84,0.22,0.09
264,61.63,0.0,100.0,384.36,12.08,16.79,0.2,0.09
265,8.52,0.3,70.0,450.24,2.97,27.47,0.27,0.06
266,62.89,0.01,99.0,355.27,7.2,18.58,0.25,0.07
267,62.54,0.0,100.0,375.25,5.14,31.32,0.24,0.07
268,63.33,0.0,100.0,367.38,8.15,22.32,0.23,0.07
269,62.16,0.02,98.0,345.92,5.84,25.58,0.26,0.07
270,72.51,0.0,100.0,275.63,4.6,31.83,0.2,0.07
271,63.17,0.0,100.0,368.95,10.16,20.01,0.17,0.07
272,71.29,0.0,100.0,287.85,5.67,28.53,0.29,0.07
273,60.2,0.01,99.0,382.48,4.1,26.84,0.29,0.08
274,67.1,0.0,100.0,329.71,12.85,11.81,0.34,0.07
275,67.29,0.0,100.0,327.77,10.07,20.54,0.17,0.09
276,22.08,0.21,79.0,455.19,2.33,29.32,0.44,0.06
277,75.27,0.0,100.0,248.03,12.48,12.3,0.13,0.07
278,63.79,0.0,100.0,362.7,4.28,35.44,0.51,0.08
279,68.49,0.04,96.0,328.87,1.45,32.0,0.34,0.07
280,79.0,0.0,100.0,210.84,3.64,29.72,0.14,0.07
281,8.41,0.29,71.0,473.69,7.38,21.66,0.39,0.06
282,58.57,0.0,100.0,414.9,3.21,34.86,0.24,0.07
283,63.67,0.0,100.0,363.97,2.63,36.29,0.3,0.09
284,64.56,0.0,100.0,355.06,8.16,21.48,0.07,0.07
285,81.69,0.0,100.0,183.87,7.1,27.28,0.09,0.07
286,63.66,0.0,100.0,364.08,8.81,20.54,0.26,0.08
