episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
293,37.23,0.0,100.0,628.06,16.0,9.68,0.75,0.06
294,57.1,0.0,100.0,429.52,16.0,9.01,0.75,0.06
295,52.81,0.0,100.0,472.44,8.0,17.68,0.61,0.07
296,68.04,0.0,100.0,320.27,16.0,10.18,0.75,0.07
297,44.08,0.0,100.0,559.64,16.0,8.77,0.75,0.08
298,52.15,0.0,100.0,478.97,4.0,35.19,0.75,0.09
299,79.7,0.0,100.0,203.84,4.0,43.01,0.75,0.08
300,37.14,0.0,100.0,628.92,4.0,32.27,0.75,0.08
301,50.66,0.0,100.0,493.92,16.0,9.35,0.75,0.09
302,56.34,0.0,100.0,437.16,4.0,35.12,0.75,0.1
303,68.47,0.0,100.0,315.96,8.0,19.25,0.75,0.07
304,58.96,0.0,100.0,411.0,8.0,19.62,0.75,0.07
305,45.98,0.0,100.0,540.66,16.0,9.55,0.75,0.09
306,77.71,0.0,100.0,223.67,16.0,7.97,0.75,0.08
307,79.21,0.0,100.0,208.72,16.0,9.41,0.75,0.07
308,62.83,0.0,100.0,372.31,16.0,8.54,0.75,0.07
309,79.78,0.0,100.0,202.97,16.0,10.09,0.75,0.07
310,74.37,0.0,100.0,257.02,16.0,9.22,0.75,0.08
311,40.93,0.0,100.0,591.1,16.0,9.8,0.75,0.07
312,65.63,0.0,100.0,344.37,8.0,18.85,0.68,0.08
313,55.51,0.0,100.0,445.5,8.0,19.22,0.75,0.07
314,57.48,0.0,100.0,425.79,16.0,9.0,0.75,0.09
315,68.79,0.0,100.0,312.8,16.0,8.65,0.75,0.08
316,56.13,0.0,100.0,439.3,16.0,9.84,0.75,0.08
317,78.4,0.0,100.0,216.78,8.0,16.89,0.75,0.1
318,60.07,0.0,100.0,399.91,16.0,9.5,0.75,0.1
319,31.04,0.0,100.0,689.88,8.0,20.07,0.75,0.08
320,35.32,0.0,100.0,647.16,16.0,9.5,0.75,0.09
321,48.3,0.0,100.0,517.51,16.0,7.75,0.69,0.08
322,74.26,0.0,100.0,258.17,16.0,8.88,0.75,0.09
323,52.28,0.0,100.0,477.76,16.0,9.42,0.57,0.08
324,62.61,0.0,100.0,374.49,16.0,9.09,0.75,0.07
325,64.67,0.08,92.0,384.65,2.0,38.2,0.61,0.07
326,66.81,0.0,100.0,332.57,16.0,8.84,0.67,0.07
